Colonia_Hecho;Municipio_Hecho
AMPLIACION ZO   URBA   EJIDAL SANTA MARIA AZTAHUAC;CDMX
A  HUAC;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
ROMA NORTE;CDMX
LOMAS DE CHAPULTEPEC IV SECCION LOMAS VIRREYES;CDMX
CONSEJO AGRARISTA MEXICANO;CDMX
CENTRO DE AZCAPOTZALCO;CDMX
SAN JUAN Y GUADALUPE TICOMAN;CDMX
SANTA CECILIA;CDMX
XOTEPINGO;CDMX
CENTRO;CDMX
DOCTORES;CDMX
CERRO DE LA ESTRELLA;CDMX
MESA DE LOS HORNOS;CDMX
SIN DATO ;CDMX
MARTIRES DE RIO BLANCO;CDMX
SANTA ANITA;CDMX
ASTURIAS;CDMX
SAN BARTOLOME DEL PUEBLO DE SAN ANDRES MIXQUIC;CDMX
AGRICOLA PANTITLAN;CDMX
CENTRO;CDMX
AJUSCO;CDMX
CENTRO URBANO PRESIDENTE MIGUEL ALEMAN;CDMX
MARTIRES DE RIO BLANCO;CDMX
CUCHILLA DE PADIER  ;CDMX
TLALCOLIGIA;CDMX
MORELOS;CDMX
SAN MARCOS;CDMX
ZEDEC SANTA FE;CDMX
SELENE 1A SECCION;CDMX
ALAMOS;CDMX
HIPODROMO;CDMX
VERTIZ   RVARTE;CDMX
VALLEJO;CDMX
DEL MAR;CDMX
ISIDRO FABELA;CDMX
JARDIN BALBUE  ;CDMX
TORRES DE POTRERO;CDMX
GUADALUPE TEPEYAC;CDMX
MOCTEZUMA 1A SECCION;CDMX
BELLAVISTA;CDMX
SAN BARTOLO AMEYALCO;CDMX
MORELOS;CDMX
CAMPAMENTO 2 DE OCTUBRE;CDMX
SAN MIGUEL TEOTONGO;CDMX
CENTRO;CDMX
SANTA MARIA NONOALCO;CDMX
SAN JOSE INSURGENTES;CDMX
GUADALUPE TEPEYAC;CDMX
PENON DE LOS BANOS;CDMX
A  HUAC;CDMX
AMPLIACION ADOLFO LOPEZ MATEOS;CDMX
AMSA;CDMX
UN HOGAR PARA NOSOTROS;CDMX
TACUBA;CDMX
JARDIN AZPEITIA;CDMX
POLANCO;CDMX
ADOLFO RUIZ CORTINES;CDMX
NICOLAS BRAVO;CDMX
COLEGIO MEXICO;CDMX
A  HUAC;CDMX
VILLA LAZARO CARDE  S;CDMX
PREDIO EL MOLINO;CDMX
UN HOGAR PARA NOSOTROS;CDMX
CENTRO;CDMX
MODER  ;CDMX
CHURUBUSCO COUNTRY CLUB;CDMX
LA ESPERANZA;CDMX
BUE  VISTA;CDMX
ARTES GRAFICAS;CDMX
  RVARTE;CDMX
CENTRAL DE ABASTO;CDMX
JAMAICA;CDMX
ALFONSO XIII;CDMX
LOMAS DE CHAPULTEPEC I SECCION;CDMX
LOMAS DE CHAPULTEPEC I SECCION;CDMX
TACUBA;CDMX
LIBERTAD;CDMX
DEL VALLE CENTRO;CDMX
DEL CARMEN;CDMX
NUEVA ATZACOALCO;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
POLANCO;CDMX
UN HOGAR PARA NOSOTROS;CDMX
TACUBA;CDMX
CHURUBUSCO COUNTRY CLUB;CDMX
MIXCOATL;CDMX
JACARANDAS;CDMX
CENTRO;CDMX
SAN FELIPE DE JESUS;CDMX
XOCHIPILLI;CDMX
PUEBLO DE LOS REYES;CDMX
XALPA;CDMX
LA MALINCHE;CDMX
CONCHITA A;CDMX
OLIVAR DEL CONDE 2A SECCION;CDMX
SIN DATO ;CDMX
5O TRAMO 20 DE NOVIEMBRE;CDMX
PRADOS DEL ROSARIO;CDMX
SANTA MARIA LA RIBERA;CDMX
ZO   ESCOLAR;CDMX
HIPODROMO;CDMX
GUADALUPE TEPEYAC;CDMX
2A AMPLIACION JALALPA EL GRANDE;CDMX
SAN LUCAS;CDMX
CALTONGO;CDMX
PRESIDENTES DE MEXICO;CDMX
AGRICOLA ORIENTAL;CDMX
RESIDENCIAL ZACATENCO;CDMX
BUE  VISTA;CDMX
AMERICA;CDMX
DEL MAR;CDMX
LA MAGDALE  ;CDMX
OBRERO POPULAR;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
MARIA G DE GARCIA RUIZ;CDMX
SIN DATO ;CDMX
PUEBLO NUEVO ALTO;CDMX
XOTEPINGO;CDMX
SAN MARTIN XOCHI  HUAC;CDMX
GRANJAS MODER  S;CDMX
EUZKADI;CDMX
AMPLIACION MOLINO DE ROSAS;CDMX
AMERICA;CDMX
SAN AGUSTIN OHTENCO;CDMX
PEDREGAL DE SANTO DOMINGO;CDMX
GUERRERO;CDMX
2A AMPLIACION SANTIAGO ACAHUALTEPEC;CDMX
A  HUAC;CDMX
SANTA ROSA XOCHIAC;CDMX
SANTA CRUZ MEYEHUALCO;CDMX
AMPLIACION ASTURIAS;CDMX
PASEOS DE CHURUBUSCO;CDMX
LA PRECIOSA;CDMX
PUENTE BLANCO;CDMX
TACUBAYA;CDMX
DEL RECREO;CDMX
SAN AGUSTIN OHTENCO;CDMX
CARLOS ZAPATA VELA;CDMX
SANTA CECILIA;CDMX
JARDINES DE SAN LORENZO TEZONCO;CDMX
SAN MIGUEL TEOTONGO;CDMX
ROMA NORTE;CDMX
SANTA ROSA XOCHIAC;CDMX
TLATILCO;CDMX
AGRICOLA ORIENTAL;CDMX
SIN DATO ;CDMX
DEL VALLE CENTRO;CDMX
TACUBA;CDMX
  POLES;CDMX
IRRIGACION;CDMX
CORPUS CHRISTY;CDMX
SIN DATO ;CDMX
MARIA G DE GARCIA RUIZ;CDMX
GUADALUPE INN;CDMX
CLAVERIA;CDMX
20 DE NOVIEMBRE;CDMX
TLALCOLIGIA;CDMX
SIN DATO ;CDMX
SANTA A   PONIENTE;CDMX
NONOALCO TLATELOLCO;CDMX
BARRIO SAN CRISTOBAL;CDMX
CAMPESTRE ARAGON;CDMX
SANTIAGO TEPALCATLALPAN;CDMX
